dropoff_longitude,dropoff_latitude
-73.98222699999998,40.73179
-73.96044899999998,40.763995
-73.986626,40.765217
-73.97986299999998,40.77705
-73.984367,40.720524
-73.98974699999998,40.756575
-73.962869,40.758443
-73.95909,40.773639
-73.94251,40.785975
-73.979023,40.740578
-73.980879,40.777384
-73.988359,40.714205
-73.984059,40.737448
-73.98264299999998,40.766574
-73.95224899999998,40.777676
-73.949225,40.6527
-73.98818199999998,40.734583
-73.986084,40.759081
-73.952591,40.778186
-73.978604,40.761822
-73.790555,40.643931
-73.996002,40.726658
-73.88567,40.773195
-73.954138,40.764081
-73.994747,40.724134
-73.97667699999998,40.76534
-73.97664399999998,40.790889
-73.979162,40.753875
-73.99401899999998,40.750252
-73.97537699999998,40.750451
-73.995738,40.741028
-73.985742,40.762699
-73.98539599999998,40.739823
-73.951963,40.711761
-73.971492,40.765339
-73.96830199999998,40.791962
-73.95818199999998,40.800848
-73.95259199999998,40.779056
-73.783606,40.643683
-73.995642,40.697605
-73.964459,40.764384
-73.98607599999998,40.74022
-73.95505699999998,40.781749
-73.991231,40.750719
-73.99672099999998,40.663365
-73.998294,40.756863
-73.98334699999998,40.734478
-73.97472299999998,40.755365
-73.95425199999998,40.803059
-73.98770899999998,40.770281
-74.001103,40.721733
-74.00266499999998,40.751134
-74.057928,40.742812
-74.00270999999998,40.733161
-74.00559099999998,40.717862
-73.95809699999998,40.717483
-73.97198899999998,40.755998
-73.993257,40.746528
-73.86002899999998,40.720961
-74.004705,40.738316
-73.954037,40.78434
-73.988729,40.762424
-73.955914,40.773862
-73.984357,40.691515
-73.98996599999998,40.747071
-73.98128199999998,40.762655
-73.960113,40.77047
-73.99075999999998,40.720599
-73.98853099999998,40.719918
-73.967675,40.758208
-73.97630499999998,40.657355
-73.986074,40.734866
-73.99173999999998,40.691309
-73.985281,40.778812
-73.986671,40.720916
-73.95565499999998,40.779628
-73.987746,40.737628
-74.005673,40.745606
-73.981425,40.782717
-73.952921,40.786689
-73.97906899999998,40.737233
-73.95787699999998,40.714143
-73.98487,40.749215
-73.982279,40.768947
-73.938946,40.663904
0.0,0.0
-74.00783099999998,40.716704
-73.94745799999998,40.781951
-73.957924,40.779028
-73.940439,40.694233
-73.95183299999998,40.773469
0.0,0.0
-73.98952199999998,40.736067
-73.97834899999998,40.729505
-73.993695,40.721515
-74.01026,40.717532
-73.988855,40.741206
-73.969998,40.758442
-74.01043,40.7191
-74.014184,40.716974
-73.955595,40.772519
-73.99509999999998,40.72887
-73.97615399999998,40.741247
-73.96980999999998,40.749045
-73.95368399999998,40.779249
-73.982856,40.722781
-73.983379,40.693756
-73.97139,40.754592
-73.99022499999998,40.736948
-73.93687099999998,40.808291
-73.987543,40.721319
-73.95665099999998,40.771574
-73.978616,40.74492
-73.988741,40.739793
-74.005612,40.726451
-73.978119,40.765765
-73.978037,40.764636
-73.92255299999998,40.869079
-73.983624,40.759362
-73.96310599999998,40.767872
-73.982274,40.749911
-73.94881499999998,40.784125
-73.962953,40.795185
-73.977433,40.747253
-73.987245,40.749479
-73.980445,40.775071
-73.991287,40.742818
-74.36862499999998,40.654249
-73.95256,40.772739
-73.960341,40.763816
-73.89440899999998,40.766011
-74.009586,40.723618
-73.976844,40.74916
-73.996718,40.742118
-74.005623,40.740211
-74.00567599999998,40.740926
-73.973174,40.755895
-73.952291,40.769693
-73.989393,40.721343
-73.99688,40.720398
0.0,0.0
-73.865983,40.724477
-73.991957,40.743845
-73.95189399999998,40.715999
-74.002059,40.740332
-73.987513,40.760007
-73.98492899999998,40.72804
-74.009116,40.737494
-73.905432,40.690923
-74.000271,40.746118
-73.987691,40.774547
-73.981012,40.744532
-73.977255,40.786816
-74.010103,40.71198
-74.018046,40.708237
-73.986205,40.762357
-73.96272,40.758399
-73.99482,40.750428
-73.98165299999998,40.78077
-73.985427,40.756098
-73.995343,40.759822
-73.982866,40.742292
-73.950354,40.783117
-73.951767,40.781968
0.0,0.0
-73.981648,40.749805
-73.98865999999998,40.717727
-73.950314,40.771153
-73.98211399999998,40.736195
-73.95332899999998,40.806991
-73.87225599999998,40.701447
-73.98860399999998,40.761192
-73.979355,40.735814
-73.974705,40.756214
-73.97623199999998,40.790778
-73.971682,40.746374
-74.000262,40.738743
-74.005759,40.735931
-73.948983,40.777511
-73.994901,40.750148
-74.00854099999998,40.709757
-73.970321,40.695241
-74.002449,40.760292
-73.963128,40.774723
-73.980783,40.677372
-73.962923,40.759197
-73.991946,40.738564
-73.970892,40.761755
-73.98072,40.738231
-74.003242,40.735338
-73.998723,40.734108
-73.95155599999998,40.773179
-73.99928099999998,40.732597
-73.78962,40.642833
-73.952284,40.772184
-73.99696,40.733397
-73.984049,40.737304
-73.989029,40.730471
-73.97664399999998,40.749363
-73.947635,40.776247
-73.979179,40.781575
-73.96717599999998,40.787483
-73.97106999999998,40.787916
-73.968873,40.78584
-73.990727,40.729648
-73.966133,40.763774
-73.977253,40.752744
-74.00372299999998,40.72262
-73.96794199999998,40.762881
-73.984004,40.730294
-73.96325899999998,40.75838
-73.94642899999998,40.776437
-73.98004,40.787307
0.0,0.0
-73.95484999999998,40.777662
-74.010518,40.717699
-73.981397,40.737928
-73.993423,40.722368
-73.990757,40.703066
-73.977,40.783245
-73.949661,40.784837
-73.971323,40.745307
0.0,0.0
-74.003561,40.750593
-74.008663,40.738087
-73.98184899999998,40.738271
-73.980523,40.725733
-74.00162799999998,40.740934
-74.00021099999998,40.730318
-73.95307699999998,40.775877
-73.993992,40.759048
-73.95762999999998,40.801928
-73.99617499999998,40.732224
-73.981244,40.780382
-73.957981,40.774249
-73.989959,40.767368
-73.971901,40.799373
-73.954851,40.774035
-74.005154,40.732145
-73.981941,40.772653
-74.008075,40.739497
-73.97256799999998,40.746652
-73.96983899999998,40.79986
-74.01483299999998,40.715238
-73.979313,40.728139
-73.972899,40.748555
-73.976884,40.739076
-73.95245199999998,40.780517
-74.003433,40.738122
-73.994175,40.740385
-73.973629,40.758093
-74.000113,40.732815
-74.002993,40.733237
-73.970374,40.786709
-73.977462,40.753533
-74.001678,40.707752
-74.006071,40.719164
-73.990538,40.744313
-73.989129,40.747982
-73.97812399999998,40.791514
-73.95479,40.768957
-73.96653999999998,40.7703
-73.94526999999998,40.77406
-74.006791,40.736408
-73.958234,40.713293
-73.95171999999998,40.781901
-73.835023,40.716944
-73.992591,40.739706
-73.99908499999998,40.724978
-74.00318,40.747442
-73.989816,40.735626
-73.980456,40.76547
-73.94786999999998,40.774781
-73.978778,40.763598
-73.95092099999998,40.771414
-73.98636999999998,40.737145
0.0,0.0
-73.99852699999998,40.744995
-73.99401,40.724594
-73.953215,40.775953
-73.95427499999998,40.80611
-74.010569,40.71758
-73.987273,40.761002
-73.95595299999998,40.76956
-73.99688999999998,40.720723
0.0,0.0
-74.00150399999998,40.746346
-73.98234999999998,40.780794
